timestamp,task_group,dataset,model_name,method,quant_type,double_quant,lora_r,lora_alpha,lora_dropout,learning_rate,batch_size,gradient_accumulation_steps,max_train_samples,max_eval_samples,seed,metric_name,metric_value,gpu_memory_peak_mb
2026-06-04T09:40:57.082352+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,bf16_reference,none,False,,,,1e-05,4,4,,,42,accuracy,0.9529816513761468,4100.90
2026-06-04T09:40:57.082550+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,bf16_reference,none,False,,,,1e-05,4,4,,,42,glue_score,0.9529816513761468,4100.90
2026-06-04T12:56:02.349967+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,bf16_reference,none,False,,,,2e-05,4,4,,,42,accuracy,0.9552752293577982,4100.09
2026-06-04T12:56:02.350131+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,bf16_reference,none,False,,,,2e-05,4,4,,,42,glue_score,0.9552752293577982,4100.09
2026-06-04T16:11:09.474785+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,bf16_reference,none,False,,,,3e-05,4,4,,,42,accuracy,0.9564220183486238,4101.36
2026-06-04T16:11:09.474946+00:00,roberta_glue,glue/sst2,FacebookAI/roberta-large,bf16_reference,none,False,,,,3e-05,4,4,,,42,glue_score,0.9564220183486238,4101.36
2026-06-04T16:22:19.632352+00:00,roberta_glue,glue/mrpc,FacebookAI/roberta-large,bf16_reference,none,False,,,,1e-05,4,4,,,42,accuracy,0.6985294117647058,4107.62
2026-06-04T16:22:19.632513+00:00,roberta_glue,glue/mrpc,FacebookAI/roberta-large,bf16_reference,none,False,,,,1e-05,4,4,,,42,f1,0.8183161004431314,4107.62
2026-06-04T16:22:19.632593+00:00,roberta_glue,glue/mrpc,FacebookAI/roberta-large,bf16_reference,none,False,,,,1e-05,4,4,,,42,glue_score,0.7584227561039186,4107.62
2026-06-04T16:33:32.951629+00:00,roberta_glue,glue/mrpc,FacebookAI/roberta-large,bf16_reference,none,False,,,,2e-05,4,4,,,42,accuracy,0.8627450980392157,4107.62
2026-06-04T16:33:32.951790+00:00,roberta_glue,glue/mrpc,FacebookAI/roberta-large,bf16_reference,none,False,,,,2e-05,4,4,,,42,f1,0.9037800687285223,4107.62
2026-06-04T16:33:32.951868+00:00,roberta_glue,glue/mrpc,FacebookAI/roberta-large,bf16_reference,none,False,,,,2e-05,4,4,,,42,glue_score,0.883262583383869,4107.62
2026-06-04T16:44:42.386567+00:00,roberta_glue,glue/mrpc,FacebookAI/roberta-large,bf16_reference,none,False,,,,3e-05,4,4,,,42,accuracy,0.8995098039215687,4107.62
2026-06-04T16:44:42.386724+00:00,roberta_glue,glue/mrpc,FacebookAI/roberta-large,bf16_reference,none,False,,,,3e-05,4,4,,,42,f1,0.9274336283185841,4107.62
2026-06-04T16:44:42.386805+00:00,roberta_glue,glue/mrpc,FacebookAI/roberta-large,bf16_reference,none,False,,,,3e-05,4,4,,,42,glue_score,0.9134717161200764,4107.62
2026-06-05T10:38:03.869619+00:00,roberta_glue,glue/qqp,FacebookAI/roberta-large,bf16_reference,none,False,,,,1e-05,4,4,,,42,accuracy,0.85016077170418,4110.20
2026-06-05T10:38:03.869778+00:00,roberta_glue,glue/qqp,FacebookAI/roberta-large,bf16_reference,none,False,,,,1e-05,4,4,,,42,f1,0.7991379310344827,4110.20
2026-06-05T10:38:03.869861+00:00,roberta_glue,glue/qqp,FacebookAI/roberta-large,bf16_reference,none,False,,,,1e-05,4,4,,,42,glue_score,0.8246493513693314,4110.20
2026-06-06T01:24:11.012667+00:00,roberta_glue,glue/rte,FacebookAI/roberta-large,bf16_reference,none,False,,,,2e-05,32,1,,,42,accuracy,0.7509025270758123,6215.11
2026-06-06T01:24:11.012850+00:00,roberta_glue,glue/rte,FacebookAI/roberta-large,bf16_reference,none,False,,,,2e-05,32,1,,,42,glue_score,0.7509025270758123,6215.11
